adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0001018724-19-000004	1018724	AMAZON COM INC	5961	US	WA	SEATTLE	98109	410 TERRY AVENUE NORTH		2062661000	US	WA	SEATTLE	98109	410 TERRY AVENUE NORTH		US	DE	911646860			1-LAF	1	1231	10-K	20181231	2018	FY	20190201	2019-01-31 20:23:00.0	0	1	amzn-20181231.xml	1		693894447104.00	20180630		
0001018963-19-000007	1018963	ALLEGHENY TECHNOLOGIES INC	3317	US	PA	PITTSBURGH	15222	1000 SIX PPG PLACE		4123942800	US	PA	PITTSBURGH	15222	100 SIX PPG PLACE		US	DE	251792394	ALLEGHENY TELEDYNE INC	19960716	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 12:20:00.0	0	1	ati-20181231.xml	1		3200000000.00	20180630		
0001019056-19-000013	1468679	AMERICAN CRYOSTEM CORP	8090	US	NJ	EATONTOWN	07724	1 MERIDIAN ROAD		732-747-1007	US	NJ	EATONTOWN	07724	1 MERIDIAN ROAD		US	NV	264574088	R & A PRODUCTIONS, INC.	20090720	4-NON	0	0930	10-K	20180930	2018	FY	20190115	2019-01-15 16:05:00.0	0	1	fil-20180930.xml	1		41930504.00	20180331		
0001019056-19-000143	1074871	MODULAR MEDICAL, INC.	3841	US	CA	ESCONDIDO	92025	800 WEST VALLEY PARKWAY	SUITE 203	949-370-9062	US	CA	ESCONDIDO	92025	800 WEST VALLEY PARKWAY	SUITE 203	US	NV	870620495	BEAR LAKE RECREATION INC	19981208	4-NON	0	0331	10-Q	20181231	2019	Q3	20190214	2019-02-14 17:12:00.0	0	1	modd-20181231.xml	1					
0001019056-19-000161	1468679	AMERICAN CRYOSTEM CORP	8090	US	NJ	EATONTOWN	07724	1 MERIDIAN ROAD		732-747-1007	US	NJ	EATONTOWN	07724	1 MERIDIAN ROAD		US	NV	264574088	R & A PRODUCTIONS, INC.	20090720	4-NON	0	0930	10-Q	20181231	2019	Q1	20190219	2019-02-19 13:28:00.0	0	1	fil-20181231.xml	1					
0001019056-19-000165	1108236	AMERICAN RIVER BANKSHARES	6022	US	CA	RANCHO CORDOVA	95670	3100 ZINFANDEL DRIVE	SUITE 450	9162316723	US	CA	RANCHO CORDOVA	95670	3100 ZINFANDEL DRIVE	SUITE 450	US	CA	680352144	AMERICAN RIVER BANKSHARES	20040528	2-ACC	0	1231	10-K	20181231	2018	FY	20190222	2019-02-21 18:24:00.0	0	1	amrb-20181231.xml	1		83896999936.00	20180630		
0001020569-19-000018	1020569	IRON MOUNTAIN INC	6798	US	MA	BOSTON	02110	ONE FEDERAL STREET		617-535-4781	US	MA	BOSTON	02110	ONE FEDERAL STREET		US	DE	232588479	IRON MOUNTAIN INC/PA	20000201	1-LAF	1	1231	10-K	20181231	2018	FY	20190214	2019-02-14 16:15:00.0	0	1	irm-20181231.xml	1		9900000256.00	20180630		
0001020710-19-000023	1020710	DXP ENTERPRISES INC	5084	US	TX	HOUSTON	77040	7272 PINEMONT DRIVE		7139964700	US	TX	HOUSTON	77040	7272 PINEMONT DRIVE		US	TX	760509661	INDEX INC	19960808	2-ACC	0	1231	10-K	20181231	2018	FY	20190308	2019-03-08 16:07:00.0	0	1	dxpe-20181231.xml	1		608700032.00	20180630		
0001020859-19-000016	1020859	UNITED NATURAL FOODS INC	5141	US	RI	PROVIDENCE	02908	313 IRON HORSE WAY		401-528-8634	US	RI	PROVIDENCE	02908	313 IRON HORSE WAY		US	DE	050376157			1-LAF	0	0731	10-Q	20190131	2019	Q2	20190307	2019-03-07 16:11:00.0	0	1	unfi-20190126.xml	1					
0001021162-19-000015	1021162	TRIUMPH GROUP INC	3720	US	PA	BERWYN	19312	899 CASSATT ROAD	SUITE 210	(610) 251-1000	US	PA	BERWYN	19312	899 CASSATT ROAD	SUITE 210	US	DE	510347963	TRIUMPH GROUP INC /	19960819	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190207	2019-02-07 16:36:00.0	0	1	tgi-20181231.xml	1					
0001021270-19-000010	1021270	FAMOUS DAVES OF AMERICA INC	5812	US	MN	MINNETONKA	55343	12701 WHITEWATER DRIVE	SUITE 200	952-294-1300	US	MN	MINNETONKA	55343	12701 WHITEWATER DRIVE	SUITE 200	US	MN	411782300			4-NON	0	1231	10-K	20181231	2018	FY	20190304	2019-03-04 16:31:00.0	0	1	dave-20181230.xml	1		21700000.00	20180701		
0001021635-19-000015	1021635	OGE ENERGY CORP.	4911	US	OK	OKLAHOMA CITY	73101-0321	321 N HARVEY	P.O. BOX 321	4055533000	US	OK	OKLAHOMA CITY	73101-0321	321 N HARVEY	P.O. BOX 321	US	OK	731481638	OGE ENERGY CORP	19960827	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-20 17:45:00.0	0	1	oge-20181231.xml	1		7032567808.00	20181231		
0001022079-19-000030	1022079	QUEST DIAGNOSTICS INC	8071	US	NJ	SECAUCUS	07094	500 PLAZA DRIVE		9735202700	US	NJ	SECAUCUS	07094	500 PLAZA DRIVE		US	DE	161387862	CORNING CLINICAL LABORATORIES INC	19960903	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:16:00.0	0	1	dgx-20181231.xml	1		14899999744.00	20180630		
0001022321-19-000029	1022321	GENESIS ENERGY LP	5171	US	TX	HOUSTON	77002	919 MILAM, SUITE 2100		7138602500	US	TX	HOUSTON	77002	919 MILAM, SUITE 2100		US	DE	760513049			1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 13:43:00.0	0	1	gel-20181231.xml	1		2300000000.00	20180630		
0001022408-19-000006	1022408	EPLUS INC	5045	US	VA	HERNDON	20171-3413	13595 DULLES TECHNOLOGY DRIVE		7039848400	US	VA	HERNDON	20171-3413	13595 DULLES TECHNOLOGY DRIVE		US	DE	541817218	MLC HOLDINGS INC	19960906	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190207	2019-02-07 16:29:00.0	0	1	plus-20181231.xml	1					
0001022652-19-000012	1022652	INSEEGO CORP.	3669	US	CA	SAN DIEGO	92121	9605 SCRANTON ROAD	SUITE 300	8588123400	US	CA	SAN DIEGO	92121	9605 SCRANTON ROAD	SUITE 300			813377646	NOVATEL WIRELESS INC	20000726	2-ACC	0	1231	10-K	20181231	2018	FY	20190312	2019-03-12 16:08:00.0	0	1	insg-20181231.xml	1		96500000.00	20180630		
0001023128-19-000042	1023128	LITHIA MOTORS INC	5500	US	OR	MEDFORD	97501	150 NORTH BARTLETT STREET		541-776-6401	US	OR	MEDFORD	97501	150 NORTH BARTLETT STREET		US	OR	930572810			1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-22 17:46:00.0	0	1	lad-20181231.xml	1		2216049920.00	20180630		
0001023731-19-000008	1023731	8X8 INC /DE/	7374	US	CA	SAN JOSE	95131	2125 O'NEL DRIVE		4087271885	US	CA	SAN JOSE	95131	2125 O'NEL DRIVE		US	DE	770142404	NETERGY NETWORKS INC	20000912	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190130	2019-01-29 21:34:00.0	0	1	eght-20181231.xml	1					
0001023844-19-000002	1023844	NATIONAL HOLDINGS CORP	6200	US	NY	NEW YORK	10281	200 VESEY STREET	25TH FLOOR	212-417-8000	US	NY	NEW YORK	10281	200 VESEY STREET	25TH FLOOR	US	DE	364128138	OLYMPIC CASCADE FINANCIAL CORP	19960927	4-NON	0	0930	10-Q	20181231	2019	Q1	20190214	2019-02-14 16:48:00.0	0	1	nhld-20181231.xml	1					
0001023860-19-000006	1023860	STEWARDSHIP FINANCIAL CORP	6022	US	NJ	MIDLAND PARK	07432	630 GODWIN AVE		2014447100	US	NJ	MIDLAND PARK	07432	630 GODWIN AVE		US	NJ	223351447			2-ACC	0	1231	10-K	20181231	2018	FY	20190315	2019-03-15 15:43:00.0	0	1	ssfn-20181231.xml	1		90707000.00	20180630		
0001024305-19-000021	1024305	COTY INC.	2844	US	NY	NEW YORK	10118	350 FIFTH AVENUE		212-389-7300	US	NY	NEW YORK	10118	350 FIFTH AVENUE				133823358	COTY INC /	19961004	1-LAF	0	0630	10-Q	20181231	2019	Q2	20190208	2019-02-08 14:01:00.0	0	1	coty-20181231.xml	1					
0001024478-19-000009	1024478	ROCKWELL AUTOMATION INC	3829	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		414-382-2000	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		US	DE	251797617	ROCKWELL  AUTOMATION INC	20020507	1-LAF	0	0930	10-Q	20181231	2019	Q1	20190131	2019-01-31 13:02:00.0	0	1	rok-20181231x10q_htm.xml	1					
0001024725-19-000004	1024725	TENNECO INC	3714	US	IL	LAKE FOREST	60045	500 NORTH FIELD DRIVE		847-482-5000	US	IL	LAKE FOREST	60045	500 N FIELD DR	ROOM T 2560B	US	DE	760515284	TENNECO AUTOMOTIVE INC	19991112	1-LAF	1	1231	10-K	20181231	2018	FY	20190318	2019-03-15 20:32:00.0	0	1	ten-20181231.xml	1		2200000000.00	20180630		
0001025378-19-000008	1025378	W. P. CAREY INC.	6798	US	NY	NEW YORK	10020	50 ROCKEFELLER PLAZA		2124921100	US	NY	NEW YORK	10020	50 ROCKEFELLER PLAZA		US	MD	133912578	W P CAREY & CO LLC	20110722	1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-22 17:36:00.0	0	1	wpc-20181231.xml	1		7100000256.00	20180630		
0001025835-19-000033	1025835	ENTERPRISE FINANCIAL SERVICES CORP	6022	US	MO	CLAYTON	63105	150 NORTH MERAMEC	150 NORTH MERAMEC	3147255500	US	MO	CLAYTON	63105	150 NORTH MERAMEC	150 NORTH MERAMEC	US	DE	431706259	ENTERBANK HOLDINGS INC	19961024	1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 17:21:00.0	0	1	efsc-20181231.xml	1		1226173952.00	20180630		
0001025996-19-000051	1025996	KILROY REALTY CORP	6798	US	CA	LOS ANGELES	90064	12200 W. OLYMPIC BLVD., SUITE 200		3104818400	US	CA	LOS ANGELES	90064	12200 W. OLYMPIC BLVD., SUITE 200		US	MD	954598246			1-LAF	1	1231	10-K	20181231	2018	FY	20190215	2019-02-14 18:50:00.0	0	1	krc-20181231.xml	2	1493976	7557990912.00	20180630		
0001026214-19-000020	1026214	FEDERAL HOME LOAN MORTGAGE CORP	6111	US	VA	MCLEAN	22102	8200 JONES BRANCH DR		7039032000	US	VA	MCLEAN	22102	8200 JONES BRANCH DR				520904874			1-LAF	0	1231	10-K	20181231	2018	FY	20190214	2019-02-14 07:59:00.0	0	1	fmcc-20181231.xml	1		1000000000.00	20180629		
0001026608-19-000011	2098	ACME UNITED CORP	3420	US	CT	FAIRFIELD	06824	55 WALLS DRIVE		203-254-6060	US	CT	FAIRFIELD	06824	55 WALLS DRIVE		US	CT	060236700	ACME SHEAR CO	19710713	2-ACC	0	1231	10-K	20181231	2018	FY	20190315	2019-03-15 17:03:00.0	0	1	acu-20181231.xml	1		61417384.00	20180630		
0001026655-19-000012	1026655	CORE MOLDING TECHNOLOGIES INC	3089	US	OH	COLUMBUS	43228	800 MANOR PARK DRIVE	P O BOX 28183	8006666960	US	OH	COLUMBUS	43228	800 MANOR PARK DR	P O BOX 28183	US	DE	311481870	CORE MATERIALS CORP	19961107	2-ACC	0	1231	10-K	20181231	2018	FY	20190318	2019-03-18 16:29:00.0	0	1	cmt-20181231.xml	1		65146916.00	20180630		
0001028918-19-000027	1028918	PACIFIC PREMIER BANCORP INC	6022	US	CA	IRVINE	92614	17901 VON KARMAN AVE	SUITE 1200	949-864-8000	US	CA	IRVINE	92614	17901 VON KARMAN AVE	SUITE 1200	US	DE	330743196			1-LAF	1	1231	10-K	20181231	2018	FY	20190301	2019-02-28 19:31:00.0	0	1	ppbi-20181231.xml	1		1800000000.00	20180630		
0001028954-19-000004	1028954	SB ONE BANCORP	6022	US	NJ	FRANKLIN	07416	399 RTE 23		9738272914	US	NJ	FRANKLIN	07416	399 RTE 23		US	NJ	223475473	SUSSEX BANCORP	19961212	2-ACC	0	1231	10-K	20181231	2018	FY	20190318	2019-03-18 16:10:00.0	0	1	sbbx-20181231.xml	1		235509504.00	20180630		
0001029145-19-000005	1029145	GOLDEN OCEAN GROUP LTD	4400	BM		HAMILTON HM 08	00000	PAR LA VILLE PLACE, 4TH FLOOR	14 PAR LA VILLE ROAD	4412956935	BM		HAMILTON HM 08	00000	PAR LA VILLE PLACE, 4TH FLOOR	14 PAR LA VILLE ROAD			000000000	KNIGHTSBRIDGE SHIPPING LTD	20140930	1-LAF	0	1231	20-F	20181231	2018	FY	20190322	2019-03-21 18:57:00.0	0	1	gogl-20181231.xml	1					
0001029199-19-000004	1029199	EURONET WORLDWIDE INC	6099	US	KS	LEAWOOD	66211	3500 COLLEGE BOULEVARD		913-327-4200	US	KS	LEAWOOD	66211	3500 COLLEGE BOULEVARD		US	DE	742806888	EURONET SERVICES INC	19961218	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 14:58:00.0	0	1	eeft-20181231.xml	1		4084000000.00	20180629		
0001029730-19-000004	1029730	LADENBURG THALMANN FINANCIAL SERVICES INC.	6211	US	FL	MIAMI	33137	4400 BISCAYNE BLVD.	12TH FLOOR	305-572-4100	US	FL	MIAMI	33137	4400 BISCAYNE BLVD.	12TH FLOOR	US	FL	650701248	LADENBURG THALMANN FINANCIAL SERVICES INC	20010514	2-ACC	0	1231	10-K	20181231	2018	FY	20190315	2019-03-15 07:28:00.0	0	1	lts-20181231.xml	1		345613184.00	20180630		
0001029744-19-000038	1029744	SONIC FOUNDRY INC	3663	US	WI	MADISON	53703	222 W. WASHINGTON AVENUE		6084431600	US	WI	MADISON	53703	222 W. WASHINGTON AVENUE		US	MD	391783372			4-NON	0	0930	10-K	20180930	2018	FY	20190315	2019-03-15 15:48:00.0	0	1	sofo-20180930.xml	1		8661176.00	20180331		
0001029800-19-000008	1029800	URSTADT BIDDLE PROPERTIES INC	6798	US	CT	GREENWICH	06830	C/O URSTADT BIDDLE PROPERTIES INC.	321 RAILROAD AVENUE	2038638200	US	CT	GREENWICH	06830	321 RAILROAD AVENUE		US	MD	042458042	HRE PROPERTIES INC	19961230	2-ACC	0	1031	10-K	20181031	2018	FY	20190111	2019-01-11 16:19:00.0	0	1	uba-20181031.xml	1		620143599.00	20180430	ClassOfStock	2
0001029800-19-000018	1029800	URSTADT BIDDLE PROPERTIES INC	6798	US	CT	GREENWICH	06830	C/O URSTADT BIDDLE PROPERTIES INC.	321 RAILROAD AVENUE	2038638200	US	CT	GREENWICH	06830	321 RAILROAD AVENUE		US	MD	042458042	HRE PROPERTIES INC	19961230	2-ACC	0	1031	10-Q	20190131	2019	Q1	20190308	2019-03-08 16:17:00.0	0	1	uba-20190131.xml	1					
0001029831-19-000012	1029831	HILLMAN COMPANIES INC	5080	US	OH	CINCINNATI	45231	10590 HAMILTON AVE.		5138514900	US	OH	CINCINNATI	45231	10590 HAMILTON AVE.		US	DE	232874736	SUNSOURCE INC	19961231	4-NON	0	1231	10-K	20181231	2018	FY	20190328	2019-03-28 09:16:00.0	0	1	hlm-20181229.xml	1		128514048.00	20180630		
0001031029-19-000014	1031029	STARTEK, INC.	7363	US	CO	GREENWOOD VILLAGE	80111	8200 E. MAPLEWOOD AVE.	SUITE 100	303-262-4500	US	CO	GREENWOOD VILLAGE	80111	8200 E. MAPLEWOOD AVE.	SUITE 100	US	DE	841370538	STARTEK, INC.	20130201	2-ACC	0	1231	10-KT	20181231	2018	FY	20190314	2019-03-14 17:26:00.0	0	1	srtk-20181231.xml	1		81700000.00	20180630		
0001031203-19-000007	1031203	GROUP 1 AUTOMOTIVE INC	5500	US	TX	HOUSTON	77024	800 GESSNER	SUITE 500	713-647-5700	US	TX	HOUSTON	77024	800 GESSNER	SUITE 500	US	DE	760506313			1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 08:34:00.0	0	1	gpi-20181231.xml	1		1200000000.00	20180630		
0001031296-19-000010	1031296	FIRSTENERGY CORP	4911	US	OH	AKRON	44308-1890	76 SOUTH MAIN ST		330-761-7837	US	OH	AKRON	44308-1890	76 SOUTH MAIN ST		US	OH	341843785			1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 16:50:00.0	0	1	fe-20181231.xml	1		17109706752.00	20180630		
0001031623-19-000008	1031623	GULF ISLAND FABRICATION INC	3440	US	TX	HOUSTON	77084	16225 PARK TEN PLACE, SUITE 280		7137146100	US	TX	HOUSTON	77084	16225 PARK TEN PLACE, SUITE 280		US	LA	721147390			2-ACC	0	1231	10-K	20181231	2018	FY	20190301	2019-03-01 17:26:00.0	0	1	gifi-20181231.xml	1		129279280.00	20180630		
0001032220-19-000012	1032220	MAXIMUS INC	7389	US	VA	RESTON	20190	ATTN: TREASURY DEPT.	1891 METRO CENTER DRIVE	7032518500	US	VA	RESTON	20190	ATTN: TREASURY DEPT.	1891 METRO CENTER DRIVE	US	VA	541000588			1-LAF	0	0930	10-Q	20181231	2019	Q1	20190207	2019-02-07 11:01:00.0	0	1	mms-20181231.xml	1					
0001032975-19-000007	1032975	LOGITECH INTERNATIONAL SA	3577	US	CA	NEWARK	94560	7700 GATEWAY BOULEVARD	C/O LOGITECH INC	5107958500	US	CA	NEWARK	94560	7700 GATEWAY BOULEVARD				000000000			1-LAF	0	0331	10-Q	20181231	2019	Q3	20190124	2019-01-24 16:10:00.0	0	1	logi-20181228.xml	1					
0001033012-19-000033	1033012	FLAGSTAR BANCORP INC	6035	US	MI	TROY	48098-2639	5151 CORPORATE DRIVE		248-312-2000	US	MI	TROY	48098-2639	5151 CORPORATE DRIVE		US	MI	383150651			1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:47:00.0	0	1	fbc-20181231.xml	1		1000000000.00	20180630		
0001033905-19-000010	1033905	LUMINEX CORP	3841	US	TX	AUSTIN	78727	12212 TECHNOLOGY BLVD	512-219-8020	5122494741	US	TX	AUSTIN	78727	12212 TECHNOLOGY BLVD		US	DE	742747608			1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-26 12:40:00.0	0	1	lmnx-20181231.xml	1		1219630976.00	20180630		
0001034054-19-000002	1034054	SBA COMMUNICATIONS CORP	6798	US	FL	BOCA RATON	33487	8051 CONGRESS AVENUE		5612269345	US	FL	BOCA RATON	33487	8051 CONGRESS AVENUE		US	FL	650716501			1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:54:00.0	0	1	sbac-20181231.xml	1		18800001024.00	20180630		
0001035002-19-000008	1035002	VALERO ENERGY CORP/TX	2911	US	TX	SAN ANTONIO	78269-6000	P.O. BOX 696000		2103452000	US	TX	SAN ANTONIO	78269-6000	P.O. BOX 696000		US	DE	741828067			1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:07:00.0	0	1	vlo-20181231.xml	1		47500001280.00	20180629		
0001035201-19-000003	1035201	CALIFORNIA WATER SERVICE GROUP	4941	US	CA	SAN JOSE	95112	1720 N FIRST ST	C/O CALIFORNIA WATER SERVICE CO	4083678200	US	CA	SAN JOSE	95112	1720 FIRST ST	C/O CALIFORNIA WATER SERVICE CO	US	DE	770448994			1-LAF	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 14:18:00.0	0	1	cwt-20181231.xml	1		1872000000.00	20180630		
0001035267-19-000012	1035267	INTUITIVE SURGICAL INC	3842	US	CA	SUNNYVALE	94086	1020 KIFER ROAD		4085232100	US	CA	SUNNYVALE	94086	1020 KIFER ROAD		US	DE	770416458			1-LAF	1	1231	10-K	20181231	2018	FY	20190204	2019-02-04 17:28:00.0	0	1	isrg-20181231.xml	1		53900001280.00	20180630		
0001035443-19-000041	1035443	ALEXANDRIA REAL ESTATE EQUITIES INC	6798	US	CA	PASADENA	91101	385 E. COLORADO BLVD	SUITE 299	6265780777	US	CA	PASADENA	91101	385 E. COLORADO BLVD	SUITE 299	US	MD	954502084			1-LAF	1	1231	10-K	20181231	2018	FY	20190205	2019-02-05 16:12:00.0	0	1	are-20181231.xml	1		12999999488.00	20180630		
0001036848-19-000005	1036848	AEROCENTURY CORP	7359	US	CA	BURLINGAME	94010	1440 CHAPIN AVE STE 310		6503401888	US	CA	BURLINGAME	94010	1440 CHAPIN AVENUE SUITE 310		US	DE	943263974	AEROMAX INC	19970331	4-NON	0	1231	10-K	20181231	2018	FY	20190319	2019-03-18 19:03:00.0	0	1	acy-20181231.xml	1		19051000.00	20180629		
0001037016-19-000008	1037016	NII HOLDINGS INC	4812	US	VA	RESTON	20190	12110 SUNSET HILLS ROAD	SUITE 600	7033905100	US	VA	RESTON	20190	12110 SUNSET HILLS ROAD	SUITE 600	US	DE	911671412	NEXTEL INTERNATIONAL INC	19970919	2-ACC	0	1231	10-K	20181231	2018	FY	20190318	2019-03-18 06:49:00.0	0	1	nihd-20181231.xml	1		287996352.00	20180630		
0001037038-19-000002	1037038	RALPH LAUREN CORP	2320	US	NY	NEW YORK	10022	650 MADISON AVENUE		2123187000	US	NY	NEW YORK	10022	650 MADISON AVENUE		US	DE	132622036	POLO RALPH LAUREN CORP	19970402	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190207	2019-02-07 16:11:00.0	0	1	rl-20181229.xml	1					
0001037646-19-000010	1037646	METTLER TOLEDO INTERNATIONAL INC/	3826	US	OH	COLUMBUS	43240	1900 POLARIS PARKWAY		6144384511	US	OH	COLUMBUS	43240	1900 POLARIS PARKWAY		US	DE	133668641	METTLER TOLEDO INTERNATIONAL INC	19971117	1-LAF	1	1231	10-K	20181231	2018	FY	20190208	2019-02-08 13:57:00.0	0	1	mtd-20181231.xml	1		14589476864.00	20180630		
0001037976-19-000008	1037976	JONES LANG LASALLE INC	6531	US	IL	CHICAGO	60601	200 E RANDOLPH DR		3127825800	US	IL	CHICAGO	60601	C/O JONES LANG LASALLE INC	200 EAST RANDOLPH DRIVE	US	MD	364150422	LASALLE PARTNERS INC	19970417	1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-25 21:08:00.0	0	1	jll-20181231.xml	1		7470521856.00	20180701		
0001038133-19-000015	1038133	HESKA CORP	2836	US	CO	LOVELAND	80538	3760 ROCKY MOUNTAIN AVENUE		9704937272	US	CO	LOVELAND	80538	3760 ROCKY MOUNTAIN AVENUE		US	DE	770192527			2-ACC	0	1231	10-K	20181231	2018	FY	20190307	2019-03-07 11:32:00.0	0	1	hska-20181231.xml	1		669198464.00	20180630		
0001038357-19-000010	1038357	PIONEER NATURAL RESOURCES CO	1311	US	TX	IRVING	75039	200 WILLIAMS SQUARE WEST	5205 N OCONNOR BLVD	9724449001	US	TX	IRVING	75039	200 WILLIAMS SQUARE WEST	5205 N OCONNOR BLVD	US	DE	752702753			1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-26 17:09:00.0	0	1	pxd-20181231.xml	1		32009027584.00	20180630		
0001038509-19-000005	1038509	PRUCO LIFE INSURANCE OF NEW JERSEY	6311	US	NJ	NEWARK	07102	213 WASHINGTON ST		9738022859	US	NJ	NEWARK	07102	213 WASHINGTON ST		US	NJ	222426091			4-NON	0	1231	10-K	20181231	2018	FY	20190307	2019-03-07 16:49:00.0	0	1	cik1038509-20181231.xml	1		0.00	20181231		
0001038773-19-000006	1038773	SMARTFINANCIAL INC.	6021	US	TN	KNOXVILLE	37919	5401 KINGSTON PIKE	SUITE 600	866-290-2554	US	TN	KNOXVILLE	37919	5401 KINGSTON PIKE	SUITE 600	US	TN	621173944	CORNERSTONE BANCSHARES INC	19980402	2-ACC	0	1231	10-K	20181231	2018	FY	20190318	2019-03-18 16:21:00.0	0	1	smbk-20181231.xml	1		294200000.00	20180630		
0001039101-19-000005	1039101	L3 TECHNOLOGIES, INC.	3663	US	NY	NEW YORK	10016	600 THIRD AVENUE	34TH FLOOR	2126971111	US	NY	NEW YORK	10016	600 THIRD AVENUE	34TH FLOOR	US	DE	133937436	L 3 COMMUNICATIONS CORP	19970513	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:42:00.0	0	1	lll-20181231.xml	1		15000000512.00	20180629		
0001039399-19-000010	1039399	FORMFACTOR INC	3674	US	CA	LIVERMORE	94551	7005 SOUTHFRONT ROAD		9252433522	US	CA	LIVERMORE	94551	7005 SOUTHFRONT ROAD		US	DE	133711155			1-LAF	0	1231	10-K	20181231	2018	FY	20190226	2019-02-26 16:45:00.0	0	1	form-20181229.xml	1		498775456.00	20180630		
0001039684-19-000016	1039684	ONEOK INC /NEW/	4923	US	OK	TULSA	74103	100 WEST 5TH ST		9185887000	US	OK	TULSA	74103	100 WEST 5TH ST		US	OK	731520922	WAI INC	19970519	1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-26 16:07:00.0	0	1	oke-20181231.xml	1		28299999232.00	20180630		
0001039828-19-000009	1039828	AMERICAN EQUITY INVESTMENT LIFE HOLDING CO	6311	US	IA	WEST DEMOINES	50266	6000 WESTOWN PARKWAY		5152210002	US	IA	WEST DES MOINES	50266	6000 WESTOWN PARKWAY		US	IA	421447959			1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 14:33:00.0	0	1	ael-20181231.xml	1		3203746816.00	20180629		
0001040161-19-000008	1040161	PIXELWORKS, INC	3674	US	CA	SAN JOSE	95110	224 AIRPORT PARKWAY	SUITE 400	408-200-9200	US	CA	SAN JOSE	95110	224 AIRPORT PARKWAY	SUITE 400	US	OR	911761992	PIXELWORKS INC	20000210	3-SRA	0	1231	10-K	20181231	2018	FY	20190313	2019-03-13 16:02:00.0	0	1	pxlw-20181231.xml	1		113055632.00	20180630		
0001040593-19-000009	1040593	CARRIZO OIL & GAS INC	1311	US	TX	HOUSTON	77002	500 DALLAS STREET	SUITE 2300	7133281000	US	TX	HOUSTON	77002	500 DALLAS STREET	SUITE 2300	US	TX	760415919			1-LAF	1	1231	10-K	20181231	2018	FY	20190301	2019-02-28 21:34:00.0	0	1	crzo-20181231.xml	1		2200000000.00	20180629		
0001040971-19-000007	1040971	SL GREEN REALTY CORP	6798	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE		2125942700	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE		US	MD	133956775	SL GREEN OPERATING PARTNERSHIP, L.P.	20100526	1-LAF	1	1231	10-K	20181231	2018	FY	20190227	2019-02-26 20:45:00.0	0	1	slg-20181231.xml	2	1492869	8000000000.00	20180630		
0001041061-19-000010	1041061	YUM BRANDS INC	5812	US	KY	LOUISVILLE	40213	1441 GARDINER LANE		5028748300	US	KY	LOUISVILLE	40213	1900 COLONEL SANDERS LANE		US	NC	133951308	TRICON GLOBAL RESTAURANTS INC	19970627	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 08:06:00.0	0	1	yum10k12312018_htm.xml	1		24700000256.00	20180630		
0001041803-19-000005	1041803	PRICESMART INC	5331	US	CA	SAN DIEGO	92121	9740 SCRANTON ROAD		8584048800	US	CA	SAN DIEGO	92121	9740 SCRANTON ROAD		US	DE	330628530			1-LAF	0	0831	10-Q	20181130	2019	Q1	20190109	2019-01-09 16:05:00.0	0	1	psmt-20181130.xml	1					
